country_name,life_expectancy,mean_years_schooling,expected_years_schooling,gni_per_capita
Norway,85.0,11.9,17.3,71137.0
Switzerland,83.3,12.4,17.0,67668.0
Ireland,83.4,12.6,16.2,71049.0
Germany,85.0,12.4,17.2,72181.0
Australia,83.8,11.8,16.2,56076.0
Iceland,82.9,12.1,14.9,54174.0
Sweden,81.8,14.0,18.3,65417.0
Netherlands,80.7,12.0,16.2,57507.0
Denmark,79.1,11.2,13.6,47670.0
Finland,81.5,11.2,15.8,56178.0
Singapore,76.1,9.0,13.3,43256.0
United Kingdom,76.0,10.3,14.8,41912.0
Japan,74.6,10.5,15.4,43233.0
South Korea,70.0,11.0,11.8,30162.0
France,73.6,8.8,13.5,27737.0
Canada,76.0,9.6,13.4,32765.0
United States,71.7,8.8,13.3,26595.0
Spain,75.4,8.4,14.9,31553.0
Italy,71.3,9.4,11.8,24012.0
Chile,67.7,8.6,10.7,21258.0
Argentina,74.0,9.9,12.1,35039.0
Brazil,72.7,7.4,10.9,19762.0
China,69.3,9.2,11.6,23144.0
Turkey,69.2,5.9,10.9,12953.0
Mexico,61.7,7.8,11.1,16221.0
Thailand,69.0,9.2,11.8,19409.0
Malaysia,64.6,5.7,10.0,12569.0
Sri Lanka,65.8,6.7,12.1,14300.0
Vietnam,67.46875,6.5,9.5,10645.0
Indonesia,59.8,5.9,12.4,12463.0
Philippines,62.1,4.7,9.9,8459.0
India,66.8,7.1,9.7,15734.0
Bangladesh,65.1,7.5,8.1,9061.0
Egypt,58.5,5.4,8.8,4864.0
Kenya,60.5,5.1,8.9,12257.0
Nigeria,56.9,5.7,8.4,5084.0
Ghana,61.5,4.4,8.8,2885.0
Nepal,55.8,3.4,6.7,2391.0
Pakistan,67.46875,4.4,6.1,1357.0
Ethiopia,58.5,3.4,6.1,5082.0
Uganda,57.9,4.6,7.2,2818.0
Haiti,58.0,4.9,7.9,2495.0
Yemen,53.4,2.2,6.9,24930.958333333332
Chad,53.1,3.3,5.0,24930.958333333332
Niger,50.2,2.5,5.5,400.0
Mali,48.7,3.1,5.9,400.0
Burundi,51.9,1.4,4.6,400.0
South Sudan,53.8,2.0,6.3,400.0
Afghanistan,51.3,7.5,5.5,3347.0
Mozambique,49.5,2.2,4.0,1207.0
