country_name,life_expectancy,mean_years_schooling,expected_years_schooling,gni_per_capita,hdi_score,hdi_category
Norway,85.0,11.9,17.3,71137.0,0.956,Very High
Switzerland,83.3,12.4,17.0,67668.0,0.948,Very High
Ireland,83.4,12.6,16.2,71049.0,0.946,Very High
Germany,85.0,12.4,17.2,72181.0,0.962,Very High
Australia,83.8,11.8,16.2,56076.0,0.927,Very High
Iceland,82.9,12.1,14.9,54174.0,0.912,Very High
Sweden,81.8,14.0,18.3,65417.0,0.968,Very High
Netherlands,80.7,12.0,16.2,57507.0,0.915,Very High
Denmark,79.1,11.2,13.6,47670.0,0.864,Very High
Finland,81.5,11.2,15.8,56178.0,0.905,Very High
Singapore,76.1,9.0,13.3,43256.0,0.816,Very High
United Kingdom,76.0,10.3,14.8,41912.0,0.843,Very High
Japan,74.6,10.5,15.4,43233.0,0.845,Very High
South Korea,70.0,11.0,11.8,30162.0,0.775,High
France,73.6,8.8,13.5,27737.0,0.781,High
Canada,76.0,9.6,13.4,32765.0,0.81,Very High
United States,71.7,8.8,13.3,26595.0,0.767,High
Spain,75.4,8.4,14.9,31553.0,0.805,Very High
Italy,71.3,9.4,11.8,24012.0,0.753,High
Chile,67.7,8.6,10.7,21258.0,0.709,High
Argentina,74.0,9.9,12.1,35039.0,0.794,High
Brazil,72.7,7.4,10.9,19762.0,0.72,High
China,69.3,9.2,11.6,23144.0,0.737,High
Turkey,69.2,5.9,10.9,12953.0,0.664,Medium
Mexico,61.7,7.8,11.1,16221.0,0.66,Medium
Thailand,69.0,9.2,11.8,19409.0,0.728,High
Malaysia,64.6,5.7,10.0,12569.0,0.628,Medium
Sri Lanka,65.8,6.7,12.1,14300.0,0.671,Medium
Vietnam,,6.5,9.5,10645.0,,
Indonesia,59.8,5.9,12.4,12463.0,0.627,Medium
Philippines,62.1,4.7,9.9,8459.0,0.583,Medium
India,66.8,7.1,9.7,15734.0,0.663,Medium
Bangladesh,65.1,,8.1,9061.0,,
Egypt,58.5,5.4,8.8,4864.0,0.535,Low
Kenya,60.5,5.1,8.9,12257.0,0.589,Medium
Nigeria,56.9,5.7,8.4,5084.0,0.528,Low
Ghana,61.5,4.4,8.8,2885.0,0.512,Low
Nepal,55.8,3.4,6.7,2391.0,0.443,Low
Pakistan,,4.4,6.1,1357.0,,
Ethiopia,58.5,3.4,6.1,5082.0,0.489,Low
Uganda,57.9,4.6,7.2,2818.0,0.48,Low
Haiti,58.0,4.9,7.9,2495.0,0.484,Low
Yemen,53.4,2.2,6.9,,,
Chad,53.1,3.3,5.0,,,
Niger,50.2,2.5,5.5,400.0,0.303,Low
Mali,48.7,3.1,5.9,400.0,0.306,Low
Burundi,51.9,1.4,4.6,400.0,0.292,Low
South Sudan,53.8,2.0,6.3,400.0,0.324,Low
Afghanistan,51.3,,5.5,3347.0,,
Mozambique,49.5,2.2,4.0,1207.0,0.338,Low
